# accuracy_goal: 1e-06
#                  sigma                     qmin                     qmax                optimal_a              min_samples            best_integral      best_integral_qmin0          finite_integral            full_integral      rel_err_best-finite        rel_err_best-full   rel_err_bestqmin0_best   rel_err_bestqmin0_full
2.500000000000000000e-01 2.223079410326623540e-01 3.969704808947582819e+00 1.000000000000000000e+01 9.000000000000000000e+00 1.068158884053695308e-02 2.132356634084956251e-02 1.068157521766280142e-02 1.068158531568047173e-02 1.275361908151165939e-06 3.299937581525906883e-07 9.962916246996872394e-01 9.962922834634628799e-01
2.600000000000000089e-01 2.068185764303191176e-01 4.223707565616871662e+00 7.220000000000000284e+01 4.000000000000000000e+00 1.092957225210347376e-02 1.275214400658366332e-06 1.092955183458541903e-02 1.092956235107499577e-02 1.868102037827727408e-06 9.058943222018973195e-07 9.998833243999633025e-01 9.998833242942675170e-01
2.700000000000000178e-01 1.922416241007744442e-01 4.496063514093584956e+00 1.900000000000000133e+00 1.300000000000000000e+01 1.119336162276588290e-02 1.119387752284300291e-02 1.119335478979279798e-02 1.119336576419168588e-02 6.104490756558042975e-07 3.699893213744480849e-07 4.608982488966879051e-05 4.571981851555130419e-05
2.800000000000000266e-01 1.776450132979973673e-01 4.812265770109892316e+00 2.300000000000000266e+00 1.300000000000000000e+01 1.147384735290330783e-02 1.147522861028075873e-02 1.147384784423471048e-02 1.147385834441215675e-02 4.282185098816330356e-08 9.579610030897870494e-07 1.203831055937302005e-04 1.194250292683198260e-04
2.900000000000000355e-01 1.648164881205943233e-01 5.128035371104737727e+00 2.000000000000000000e+00 1.300000000000000000e+01 1.177196103065284057e-02 1.177315410570908480e-02 1.177195873776495059e-02 1.177196974532575269e-02 1.947753930376223100e-07 7.402901214201726877e-07 1.013488791831371330e-04 1.006085140341428841e-04
2.999999999999999889e-01 1.527845639787462073e-01 5.466980365421378885e+00 9.250000000000000000e+01 9.000000000000000000e+00 1.208869034467457103e-02 5.354398884168979039e-05 1.208868998972902065e-02 1.208870155159072479e-02 2.936178781022947496e-08 9.270570628231769799e-07 9.955707370016902980e-01 9.955707411078699165e-01
3.099999999999999978e-01 1.415115082351719733e-01 5.830916749553351153e+00 9.400000000000000355e+00 9.000000000000000000e+00 1.242513900407114964e-02 1.069911901437574885e-02 1.242512063584114146e-02 1.242513280322678909e-02 1.478314017748803404e-06 4.990565862556592931e-07 1.389135356256266385e-01 1.389131058947552511e-01
3.200000000000000067e-01 1.302315006864430968e-01 6.256629600933026225e+00 5.650000000000000711e+01 9.000000000000000000e+00 1.278241492015080860e-02 1.158955832258064689e-03 1.278241425280687675e-02 1.278242601947606957e-02 5.220797250445406936e-08 8.683269704874382526e-07 9.093320128083910436e-01 9.093320915378497737e-01
3.300000000000000155e-01 1.204038617635086045e-01 6.679904373982737731e+00 4.770000000000000284e+01 9.000000000000000000e+00 1.316182768125967635e-02 3.164146184748947970e-03 1.316182133171796796e-02 1.316183376867665136e-02 4.824212051175451757e-07 4.625052315657662757e-07 7.595967473989814200e-01 7.595968585867434175e-01
3.400000000000000244e-01 1.112257584453039128e-01 7.134864667216595180e+00 4.160000000000000142e+01 9.000000000000000000e+00 1.356470051647019372e-02 6.694198684649172587e-03 1.356469266558662720e-02 1.356470583535535242e-02 5.787734200888204096e-07 3.921120902480046227e-07 5.064986007968912407e-01 5.064987943047564167e-01
